iter	Passed	Remaining
496	2340	2369
497	2344	2363
498	2349	2358
499	2353	2353
500	2357	2348
501	2361	2342
502	2365	2337
503	2369	2331
504	2373	2326
505	2377	2321
506	2381	2316
507	2385	2310
508	2389	2305
509	2393	2299
510	2397	2294
511	2401	2289
512	2406	2284
513	2412	2280
514	2417	2276
515	2422	2272
516	2517	2351
517	2523	2347
518	2558	2370
519	2564	2367
520	2569	2362
521	2575	2358
522	2580	2353
523	2584	2347
524	2588	2341
525	2592	2336
526	2596	2330
527	2600	2324
528	2604	2318
529	2608	2313
530	2614	2309
531	2619	2304
532	2625	2300
533	2630	2295
534	2636	2291
535	2642	2287
536	2646	2281
537	2650	2275
538	2655	2270
539	2659	2265
540	2663	2259
541	2667	2254
542	2671	2248
543	2675	2242
544	2679	2237
545	2683	2231
546	2687	2225
547	2691	2220
548	2695	2214
549	2699	2208
550	2703	2203
551	2707	2197
552	2711	2191
553	2715	2186
554	2720	2181
555	2724	2176
556	2728	2170
557	2733	2165
558	2737	2159
559	2741	2153
560	2745	2148
561	2749	2142
562	2753	2137
563	2757	2131
564	2761	2126
565	2765	2120
566	2769	2115
567	2773	2109
568	2777	2104
569	2781	2098
570	2786	2093
571	2791	2088
572	2796	2084
573	2802	2079
574	2806	2074
575	2812	2070
576	2817	2065
577	2822	2061
578	2828	2056
579	2833	2052
580	2840	2048
581	2844	2042
582	2848	2037
583	2852	2031
584	2856	2026
585	2860	2020
586	2865	2015
587	2869	2010
588	2874	2005
589	2878	2000
590	2882	1994
591	2886	1989
592	2890	1983
593	2894	1978
594	2898	1972
595	2906	1969
596	2910	1964
597	2914	1959
598	2918	1953
599	2922	1948
600	2926	1942
601	2930	1937
602	2934	1932
603	2938	1926
604	2942	1921
605	2947	1916
606	2953	1912
607	2958	1907
608	2963	1902
609	2968	1897
610	2974	1893
611	2978	1888
612	2983	1883
613	2988	1878
614	2992	1873
615	2997	1868
616	3001	1863
617	3007	1859
618	3015	1855
619	3020	1851
620	3026	1847
621	3031	1842
622	3037	1837
623	3042	1833
624	3046	1828
625	3050	1822
626	3055	1817
627	3059	1812
628	3063	1806
629	3067	1801
630	3072	1796
631	3076	1791
632	3080	1785
633	3084	1780
634	3088	1775
635	3092	1769
636	3096	1764
637	3100	1759
638	3104	1753
639	3108	1748
640	3112	1743
641	3116	1738
642	3121	1732
643	3125	1727
644	3129	1722
645	3134	1717
646	3138	1712
647	3142	1706
648	3146	1701
649	3151	1696
650	3155	1691
651	3159	1686
652	3163	1681
653	3168	1676
654	3171	1670
655	3175	1665
656	3179	1660
657	3183	1654
658	3187	1649
659	3192	1644
660	3196	1639
661	3200	1634
662	3207	1630
663	3212	1625
664	3217	1620
665	3223	1616
666	3230	1612
667	3236	1608
668	3242	1604
669	3246	1598
670	3250	1593
671	3254	1588
672	3258	1583
673	3262	1578
674	3266	1572
675	3270	1567
676	3274	1562
677	3278	1557
678	3282	1551
679	3286	1546
680	3290	1541
681	3295	1536
682	3301	1532
683	3305	1527
684	3309	1522
685	3313	1516
686	3318	1511
687	3322	1506
688	3326	1501
689	3330	1496
690	3334	1491
691	3338	1485
692	3342	1480
693	3346	1475
694	3350	1470
695	3354	1465
696	3359	1460
697	3364	1455
698	3370	1451
699	3378	1447
700	3382	1442
701	3386	1437
702	3390	1432
703	3394	1427
704	3398	1422
705	3406	1418
706	3411	1413
707	3416	1409
708	3422	1404
709	3427	1400
710	3433	1395
711	3438	1390
712	3444	1386
713	3448	1381
714	3452	1376
715	3456	1371
716	3460	1365
717	3465	1361
718	3469	1355
719	3473	1350
720	3477	1345
721	3481	1340
722	3485	1335
723	3489	1330
724	3493	1325
725	3497	1320
726	3501	1314
727	3505	1309
728	3509	1304
729	3513	1299
730	3517	1294
731	3521	1289
732	3525	1284
733	3529	1279
734	3533	1273
735	3537	1268
736	3541	1263
737	3545	1258
738	3549	1253
739	3553	1248
740	3557	1243
741	3561	1238
742	3565	1233
743	3569	1228
744	3573	1223
745	3577	1218
746	3581	1213
747	3585	1207
748	3589	1202
749	3593	1197
750	3597	1192
751	3603	1188
752	3608	1183
753	3613	1178
754	3619	1174
755	3624	1169
756	3629	1165
757	3635	1160
758	3641	1156
759	3645	1151
760	3649	1146
761	3653	1141
762	3657	1136
763	3661	1130
764	3665	1125
765	3669	1120
766	3673	1115
767	3677	1110
768	3681	1105
769	3685	1100
770	3690	1096
771	3696	1091
772	3701	1087
773	3707	1082
774	3711	1077
775	3716	1072
776	3722	1068
777	3727	1063
778	3731	1058
779	3735	1053
780	3739	1048
781	3743	1043
782	3747	1038
783	3751	1033
784	3756	1028
785	3761	1024
786	3766	1019
787	3770	1014
788	3774	1009
789	3778	1004
790	3783	999
791	3787	994
792	3791	989
793	3795	984
794	3801	980
795	3806	975
796	3811	970
797	3817	966
798	3822	961
799	3831	957
800	3837	953
801	3842	948
802	3847	943
803	3852	939
804	3857	934
805	3861	929
806	3865	924
807	3869	919
808	3873	914
809	3876	909
810	3880	904
811	3884	899
812	3888	894
813	3894	889
814	3898	885
815	3902	880
816	3907	875
817	3910	870
818	3914	865
819	3918	860
820	3922	855
821	3926	850
822	3930	845
823	3934	840
824	3938	835
825	3942	830
826	3945	825
827	3949	820
828	3953	815
829	3957	810
830	3961	805
831	3965	800
832	3969	795
833	3972	790
834	3976	785
835	3980	780
836	3984	775
837	3988	771
838	3992	766
839	3996	761
840	4003	756
841	4008	752
842	4013	747
843	4018	742
844	4023	738
845	4031	733
846	4037	729
847	4043	724
848	4047	719
849	4051	714
850	4055	710
851	4059	705
852	4062	700
853	4066	695
854	4070	690
855	4074	685
856	4078	680
857	4082	675
858	4086	670
859	4093	666
860	4098	661
861	4102	656
862	4106	651
863	4110	647
864	4114	642
865	4118	637
866	4122	632
867	4126	627
868	4130	622
869	4134	617
870	4137	612
871	4141	607
872	4145	603
873	4149	598
874	4153	593
875	4157	588
876	4161	583
877	4165	578
878	4169	574
879	4173	569
880	4178	564
881	4182	559
882	4186	554
883	4189	549
884	4195	545
885	4200	540
886	4205	535
887	4211	531
888	4216	526
889	4222	521
890	4229	517
891	4234	512
892	4240	508
893	4245	503
894	4249	498
895	4253	493
896	4257	488
897	4261	484
898	4265	479
899	4269	474
900	4273	469
901	4277	464
902	4281	459
903	4285	455
904	4289	450
905	4293	445
906	4297	440
907	4301	435
908	4305	431
909	4309	426
910	4313	421
911	4317	416
912	4321	411
913	4325	406
914	4329	402
915	4333	397
916	4337	392
917	4341	387
918	4345	383
919	4349	378
920	4353	373
921	4357	368
922	4362	363
923	4367	359
924	4371	354
925	4375	349
926	4379	344
927	4383	340
928	4387	335
929	4391	330
930	4397	325
931	4403	321
932	4408	316
933	4413	311
934	4418	307
935	4424	302
936	4429	297
937	4435	293
938	4441	288
939	4445	283
940	4449	278
941	4453	274
942	4457	269
943	4461	264
944	4465	259
945	4469	255
946	4473	250
947	4477	245
948	4481	240
949	4488	236
950	4492	231
951	4496	226
952	4500	221
953	4504	217
954	4508	212
955	4512	207
956	4516	202
957	4520	198
958	4524	193
959	4528	188
960	4532	183
961	4536	179
962	4539	174
963	4543	169
964	4547	164
965	4551	160
966	4555	155
967	4559	150
968	4563	145
969	4567	141
970	4571	136
971	4575	131
972	4579	127
973	4582	122
974	4586	117
975	4592	112
976	4598	108
977	4603	103
978	4608	98
979	4613	94
980	4619	89
981	4624	84
982	4630	80
983	4636	75
984	4641	70
985	4645	65
986	4649	61
987	4653	56
988	4657	51
989	4661	47
990	4666	42
991	4671	37
992	4677	32
993	4682	28
994	4687	23
995	4692	18
996	4697	14
997	4702	9
998	4707	4
999	4711	0
